set_id,session_id,exercise_name,exercise_category,set_number,reps,weight_lb,distance_yards,duration_seconds,jump_count,perceived_difficulty_1_10,notes
14829,2672,Back Squat,lower_strength,1,6.0,229.9,,,,9,
14830,2672,Back Squat,lower_strength,2,6.0,100.4,,,,8,
14831,2672,Back Squat,lower_strength,3,6.0,148.5,,,,6,
14832,2672,Trap Bar Deadlift,lower_strength,1,5.0,198.3,,,,6,
14833,2672,Trap Bar Deadlift,lower_strength,2,5.0,124.2,,,,8,
14834,2672,Trap Bar Deadlift,lower_strength,3,5.0,135.8,,,,7,
14835,2672,Romanian Deadlift,lower_strength,1,8.0,192.1,,,,6,
14836,2672,Romanian Deadlift,lower_strength,2,8.0,247.2,,,,7,
14837,2672,Romanian Deadlift,lower_strength,3,8.0,217.0,,,,6,
14838,2672,Bulgarian Split Squat,lower_strength,1,8.0,119.5,,,,6,
14839,2672,Bulgarian Split Squat,lower_strength,2,8.0,221.6,,,,7,
14840,2672,Bulgarian Split Squat,lower_strength,3,8.0,206.4,,,,6,
14841,2672,Seated Calf Raise,lower_strength,1,10.0,208.2,,,,8,
14842,2672,Seated Calf Raise,lower_strength,2,10.0,127.0,,,,5,
14843,2672,Seated Calf Raise,lower_strength,3,10.0,116.8,,,,5,
14844,2673,Gameplay,volleyball,1,60.0,,,3600.0,,9,
14845,2675,Back Squat,lower_strength,1,6.0,241.7,,,,8,
14846,2675,Back Squat,lower_strength,2,6.0,202.2,,,,8,
14847,2675,Back Squat,lower_strength,3,6.0,115.6,,,,8,
14848,2675,Trap Bar Deadlift,lower_strength,1,5.0,182.9,,,,8,
14849,2675,Trap Bar Deadlift,lower_strength,2,5.0,118.8,,,,9,
14850,2675,Trap Bar Deadlift,lower_strength,3,5.0,97.0,,,,10,
14851,2675,Romanian Deadlift,lower_strength,1,8.0,117.4,,,,7,
14852,2675,Romanian Deadlift,lower_strength,2,8.0,216.1,,,,7,
14853,2675,Romanian Deadlift,lower_strength,3,8.0,150.5,,,,7,
14854,2675,Seated Calf Raise,lower_strength,1,10.0,200.2,,,,5,
14855,2675,Seated Calf Raise,lower_strength,2,10.0,108.5,,,,10,
14856,2675,Seated Calf Raise,lower_strength,3,10.0,230.0,,,,7,
14857,2676,Approach Jumps,plyometric,1,4.0,,,,4.0,7,
14858,2676,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
14859,2676,Approach Jumps,plyometric,3,4.0,,,,4.0,6,
14860,2676,Approach Jumps,plyometric,4,4.0,,,,4.0,7,
14861,2676,Depth Jumps,plyometric,1,5.0,,,,5.0,8,
14862,2676,Depth Jumps,plyometric,2,5.0,,,,5.0,7,
14863,2676,Depth Jumps,plyometric,3,5.0,,,,5.0,9,
14864,2677,Hitting Lines,volleyball,1,30.0,,,1800.0,,4,
14865,2677,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
14866,2677,Gameplay,volleyball,1,60.0,,,3600.0,,8,
14867,2680,Hitting Lines,volleyball,1,30.0,,,1800.0,,4,
14868,2682,Back Squat,lower_strength,1,6.0,93.7,,,,7,
14869,2682,Back Squat,lower_strength,2,6.0,148.3,,,,7,
14870,2682,Back Squat,lower_strength,3,6.0,225.3,,,,6,
14871,2682,Trap Bar Deadlift,lower_strength,1,5.0,153.2,,,,6,
14872,2682,Trap Bar Deadlift,lower_strength,2,5.0,209.4,,,,7,
14873,2682,Trap Bar Deadlift,lower_strength,3,5.0,198.6,,,,8,
14874,2682,Romanian Deadlift,lower_strength,1,8.0,169.5,,,,6,
14875,2682,Romanian Deadlift,lower_strength,2,8.0,201.5,,,,7,
14876,2682,Romanian Deadlift,lower_strength,3,8.0,104.4,,,,7,
14877,2682,Bulgarian Split Squat,lower_strength,1,8.0,99.4,,,,6,
14878,2682,Bulgarian Split Squat,lower_strength,2,8.0,104.8,,,,7,
14879,2682,Bulgarian Split Squat,lower_strength,3,8.0,210.0,,,,7,
14880,2682,Seated Calf Raise,lower_strength,1,10.0,184.7,,,,8,
14881,2682,Seated Calf Raise,lower_strength,2,10.0,126.6,,,,6,
14882,2682,Seated Calf Raise,lower_strength,3,10.0,157.5,,,,6,
14883,2683,Pogos,plyometric,1,20.0,,,,20.0,9,
14884,2683,Pogos,plyometric,2,20.0,,,,20.0,6,
14885,2683,Pogos,plyometric,3,20.0,,,,20.0,9,
14886,2683,Seated Box Jumps,plyometric,1,5.0,,,,5.0,8,
14887,2683,Seated Box Jumps,plyometric,2,5.0,,,,5.0,9,
14888,2683,Seated Box Jumps,plyometric,3,5.0,,,,5.0,9,
14889,2684,Hitting Lines,volleyball,1,30.0,,,1800.0,,9,
14890,2684,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
14891,2684,Gameplay,volleyball,1,60.0,,,3600.0,,8,
14892,2685,Backward Treadmill Walk,recovery,1,,,,10.0,,1,
14893,2685,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
14894,2685,Spanish Squat Iso Hold,isometric,2,,,,30.0,,1,
14895,2685,Spanish Squat Iso Hold,isometric,3,,,,30.0,,1,
14896,2685,Calf Iso Hold,isometric,1,,,,30.0,,2,
14897,2685,Calf Iso Hold,isometric,2,,,,30.0,,1,
14898,2685,Calf Iso Hold,isometric,3,,,,30.0,,1,
14899,2686,Back Squat,lower_strength,1,6.0,151.1,,,,8,
14900,2686,Back Squat,lower_strength,2,6.0,108.3,,,,7,
14901,2686,Back Squat,lower_strength,3,6.0,128.9,,,,10,
14902,2686,Trap Bar Deadlift,lower_strength,1,5.0,90.9,,,,9,
14903,2686,Trap Bar Deadlift,lower_strength,2,5.0,176.7,,,,9,
14904,2686,Trap Bar Deadlift,lower_strength,3,5.0,199.5,,,,9,
14905,2686,Romanian Deadlift,lower_strength,1,8.0,184.4,,,,10,
14906,2686,Romanian Deadlift,lower_strength,2,8.0,208.8,,,,7,
14907,2686,Romanian Deadlift,lower_strength,3,8.0,97.3,,,,9,
14908,2686,Bulgarian Split Squat,lower_strength,1,8.0,122.7,,,,9,
14909,2686,Bulgarian Split Squat,lower_strength,2,8.0,200.4,,,,8,
14910,2686,Bulgarian Split Squat,lower_strength,3,8.0,99.0,,,,6,
14911,2686,Seated Calf Raise,lower_strength,1,10.0,99.5,,,,10,
14912,2686,Seated Calf Raise,lower_strength,2,10.0,171.0,,,,8,
14913,2686,Seated Calf Raise,lower_strength,3,10.0,227.6,,,,9,
14914,2687,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
14915,2687,Gameplay,volleyball,1,60.0,,,3600.0,,7,
14916,2689,Back Squat,lower_strength,1,6.0,175.3,,,,10,
14917,2689,Back Squat,lower_strength,2,6.0,178.3,,,,10,
14918,2689,Back Squat,lower_strength,3,6.0,215.6,,,,10,
14919,2689,Trap Bar Deadlift,lower_strength,1,5.0,227.4,,,,10,
14920,2689,Trap Bar Deadlift,lower_strength,2,5.0,67.9,,,,8,
14921,2689,Trap Bar Deadlift,lower_strength,3,5.0,161.8,,,,9,
14922,2689,Romanian Deadlift,lower_strength,1,8.0,87.0,,,,10,
14923,2689,Romanian Deadlift,lower_strength,2,8.0,168.3,,,,9,
14924,2689,Romanian Deadlift,lower_strength,3,8.0,162.0,,,,9,
14925,2689,Bulgarian Split Squat,lower_strength,1,8.0,190.9,,,,9,
14926,2689,Bulgarian Split Squat,lower_strength,2,8.0,148.5,,,,10,
14927,2689,Bulgarian Split Squat,lower_strength,3,8.0,89.1,,,,7,
14928,2689,Seated Calf Raise,lower_strength,1,10.0,196.3,,,,10,
14929,2689,Seated Calf Raise,lower_strength,2,10.0,89.6,,,,7,
14930,2689,Seated Calf Raise,lower_strength,3,10.0,143.5,,,,7,
14931,2690,Approach Jumps,plyometric,1,4.0,,,,4.0,5,
14932,2690,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
14933,2690,Approach Jumps,plyometric,3,4.0,,,,4.0,7,
14934,2690,Approach Jumps,plyometric,4,4.0,,,,4.0,8,
14935,2690,Pogos,plyometric,1,20.0,,,,20.0,8,
14936,2690,Pogos,plyometric,2,20.0,,,,20.0,7,
14937,2690,Pogos,plyometric,3,20.0,,,,20.0,7,
14938,2690,Seated Box Jumps,plyometric,1,5.0,,,,5.0,8,
14939,2690,Seated Box Jumps,plyometric,2,5.0,,,,5.0,7,
14940,2690,Seated Box Jumps,plyometric,3,5.0,,,,5.0,7,
14941,2691,Hitting Lines,volleyball,1,30.0,,,1800.0,,9,
14942,2691,Serve Receive,volleyball,1,20.0,,,1200.0,,8,
14943,2691,Gameplay,volleyball,1,60.0,,,3600.0,,8,
14944,2694,Gameplay,volleyball,1,60.0,,,3600.0,,5,
14945,2696,Trap Bar Deadlift,lower_strength,1,5.0,112.9,,,,9,
14946,2696,Trap Bar Deadlift,lower_strength,2,5.0,113.2,,,,7,
14947,2696,Trap Bar Deadlift,lower_strength,3,5.0,167.8,,,,7,
14948,2696,Bulgarian Split Squat,lower_strength,1,8.0,158.1,,,,8,
14949,2696,Bulgarian Split Squat,lower_strength,2,8.0,112.2,,,,9,
14950,2696,Bulgarian Split Squat,lower_strength,3,8.0,155.5,,,,9,
14951,2696,Seated Calf Raise,lower_strength,1,10.0,121.2,,,,6,
14952,2696,Seated Calf Raise,lower_strength,2,10.0,200.5,,,,8,
14953,2696,Seated Calf Raise,lower_strength,3,10.0,81.9,,,,7,
14954,2697,Pogos,plyometric,1,20.0,,,,20.0,7,
14955,2697,Pogos,plyometric,2,20.0,,,,20.0,6,
14956,2697,Pogos,plyometric,3,20.0,,,,20.0,5,
14957,2697,Depth Jumps,plyometric,1,5.0,,,,5.0,8,
14958,2697,Depth Jumps,plyometric,2,5.0,,,,5.0,8,
14959,2697,Depth Jumps,plyometric,3,5.0,,,,5.0,8,
14960,2697,Seated Box Jumps,plyometric,1,5.0,,,,5.0,6,
14961,2697,Seated Box Jumps,plyometric,2,5.0,,,,5.0,7,
14962,2697,Seated Box Jumps,plyometric,3,5.0,,,,5.0,7,
14963,2698,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
14964,2698,Gameplay,volleyball,1,60.0,,,3600.0,,7,
14965,2699,Backward Treadmill Walk,recovery,1,,,,10.0,,3,
14966,2699,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
14967,2699,Spanish Squat Iso Hold,isometric,2,,,,30.0,,2,
14968,2699,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
14969,2699,Calf Iso Hold,isometric,1,,,,30.0,,3,
14970,2699,Calf Iso Hold,isometric,2,,,,30.0,,3,
14971,2699,Calf Iso Hold,isometric,3,,,,30.0,,3,
14972,2700,Back Squat,lower_strength,1,6.0,169.9,,,,6,
14973,2700,Back Squat,lower_strength,2,6.0,174.3,,,,7,
14974,2700,Back Squat,lower_strength,3,6.0,94.0,,,,7,
14975,2700,Trap Bar Deadlift,lower_strength,1,5.0,195.5,,,,8,
14976,2700,Trap Bar Deadlift,lower_strength,2,5.0,161.1,,,,7,
14977,2700,Trap Bar Deadlift,lower_strength,3,5.0,128.4,,,,7,
14978,2700,Romanian Deadlift,lower_strength,1,8.0,149.0,,,,7,
14979,2700,Romanian Deadlift,lower_strength,2,8.0,221.4,,,,7,
14980,2700,Romanian Deadlift,lower_strength,3,8.0,187.8,,,,6,
14981,2700,Seated Calf Raise,lower_strength,1,10.0,95.4,,,,8,
14982,2700,Seated Calf Raise,lower_strength,2,10.0,199.5,,,,7,
14983,2700,Seated Calf Raise,lower_strength,3,10.0,168.4,,,,7,
14984,2701,Backward Treadmill Walk,recovery,1,,,,10.0,,4,
14985,2701,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
14986,2701,Spanish Squat Iso Hold,isometric,2,,,,30.0,,3,
14987,2701,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
14988,2702,Back Squat,lower_strength,1,6.0,184.9,,,,8,
14989,2702,Back Squat,lower_strength,2,6.0,137.5,,,,8,
14990,2702,Back Squat,lower_strength,3,6.0,230.7,,,,7,
14991,2702,Bulgarian Split Squat,lower_strength,1,8.0,182.7,,,,9,
14992,2702,Bulgarian Split Squat,lower_strength,2,8.0,161.2,,,,10,
14993,2702,Bulgarian Split Squat,lower_strength,3,8.0,188.5,,,,8,
14994,2702,Seated Calf Raise,lower_strength,1,10.0,178.6,,,,6,
14995,2702,Seated Calf Raise,lower_strength,2,10.0,123.3,,,,9,
14996,2702,Seated Calf Raise,lower_strength,3,10.0,229.4,,,,9,
14997,2703,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
14998,2703,Serve Receive,volleyball,1,20.0,,,1200.0,,9,
14999,2703,Gameplay,volleyball,1,60.0,,,3600.0,,8,
15000,2705,Trap Bar Deadlift,lower_strength,1,5.0,146.3,,,,5,
15001,2705,Trap Bar Deadlift,lower_strength,2,5.0,102.8,,,,7,
15002,2705,Trap Bar Deadlift,lower_strength,3,5.0,136.1,,,,6,
15003,2705,Romanian Deadlift,lower_strength,1,8.0,97.7,,,,5,
15004,2705,Romanian Deadlift,lower_strength,2,8.0,151.0,,,,5,
15005,2705,Romanian Deadlift,lower_strength,3,8.0,233.9,,,,6,
15006,2705,Seated Calf Raise,lower_strength,1,10.0,168.1,,,,5,
15007,2705,Seated Calf Raise,lower_strength,2,10.0,168.8,,,,5,
15008,2705,Seated Calf Raise,lower_strength,3,10.0,177.0,,,,8,
15009,2706,Approach Jumps,plyometric,1,4.0,,,,4.0,6,
15010,2706,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
15011,2706,Approach Jumps,plyometric,3,4.0,,,,4.0,6,
15012,2706,Approach Jumps,plyometric,4,4.0,,,,4.0,6,
15013,2706,Pogos,plyometric,1,20.0,,,,20.0,6,
15014,2706,Pogos,plyometric,2,20.0,,,,20.0,5,
15015,2706,Pogos,plyometric,3,20.0,,,,20.0,7,
15016,2706,Depth Jumps,plyometric,1,5.0,,,,5.0,6,
15017,2706,Depth Jumps,plyometric,2,5.0,,,,5.0,6,
15018,2706,Depth Jumps,plyometric,3,5.0,,,,5.0,6,
15019,2706,Seated Box Jumps,plyometric,1,5.0,,,,5.0,8,
15020,2706,Seated Box Jumps,plyometric,2,5.0,,,,5.0,7,
15021,2706,Seated Box Jumps,plyometric,3,5.0,,,,5.0,7,
15022,2707,Hitting Lines,volleyball,1,30.0,,,1800.0,,9,
15023,2707,Gameplay,volleyball,1,60.0,,,3600.0,,7,
15024,2708,Backward Treadmill Walk,recovery,1,,,,10.0,,3,
15025,2708,Spanish Squat Iso Hold,isometric,1,,,,30.0,,4,
15026,2708,Spanish Squat Iso Hold,isometric,2,,,,30.0,,4,
15027,2708,Spanish Squat Iso Hold,isometric,3,,,,30.0,,5,
15028,2709,Trap Bar Deadlift,lower_strength,1,5.0,77.6,,,,8,
15029,2709,Trap Bar Deadlift,lower_strength,2,5.0,224.1,,,,7,
15030,2709,Trap Bar Deadlift,lower_strength,3,5.0,230.8,,,,8,
15031,2709,Romanian Deadlift,lower_strength,1,8.0,149.0,,,,6,
15032,2709,Romanian Deadlift,lower_strength,2,8.0,179.1,,,,9,
15033,2709,Romanian Deadlift,lower_strength,3,8.0,150.0,,,,9,
15034,2709,Bulgarian Split Squat,lower_strength,1,8.0,145.1,,,,9,
15035,2709,Bulgarian Split Squat,lower_strength,2,8.0,163.7,,,,9,
15036,2709,Bulgarian Split Squat,lower_strength,3,8.0,203.3,,,,9,
15037,2709,Seated Calf Raise,lower_strength,1,10.0,229.6,,,,7,
15038,2709,Seated Calf Raise,lower_strength,2,10.0,181.8,,,,7,
15039,2709,Seated Calf Raise,lower_strength,3,10.0,196.6,,,,10,
15040,2710,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
15041,2710,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
15042,2710,Gameplay,volleyball,1,60.0,,,3600.0,,7,
15043,2712,Back Squat,lower_strength,1,6.0,145.9,,,,9,
15044,2712,Back Squat,lower_strength,2,6.0,188.6,,,,10,
15045,2712,Back Squat,lower_strength,3,6.0,137.4,,,,7,
15046,2712,Trap Bar Deadlift,lower_strength,1,5.0,194.7,,,,10,
15047,2712,Trap Bar Deadlift,lower_strength,2,5.0,104.5,,,,10,
15048,2712,Trap Bar Deadlift,lower_strength,3,5.0,153.5,,,,9,
15049,2712,Seated Calf Raise,lower_strength,1,10.0,256.3,,,,10,
15050,2712,Seated Calf Raise,lower_strength,2,10.0,174.4,,,,9,
15051,2712,Seated Calf Raise,lower_strength,3,10.0,212.0,,,,8,
15052,2715,Backward Treadmill Walk,recovery,1,,,,10.0,,2,
15053,2715,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
15054,2715,Spanish Squat Iso Hold,isometric,2,,,,30.0,,3,
15055,2715,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
15056,2716,Back Squat,lower_strength,1,6.0,137.9,,,,8,
15057,2716,Back Squat,lower_strength,2,6.0,123.8,,,,9,
15058,2716,Back Squat,lower_strength,3,6.0,59.2,,,,8,
15059,2716,Trap Bar Deadlift,lower_strength,1,5.0,163.1,,,,10,
15060,2716,Trap Bar Deadlift,lower_strength,2,5.0,119.6,,,,8,
15061,2716,Trap Bar Deadlift,lower_strength,3,5.0,143.7,,,,8,
15062,2716,Romanian Deadlift,lower_strength,1,8.0,187.5,,,,7,
15063,2716,Romanian Deadlift,lower_strength,2,8.0,170.1,,,,7,
15064,2716,Romanian Deadlift,lower_strength,3,8.0,165.4,,,,9,
15065,2716,Bulgarian Split Squat,lower_strength,1,8.0,171.5,,,,9,
15066,2716,Bulgarian Split Squat,lower_strength,2,8.0,106.4,,,,7,
15067,2716,Bulgarian Split Squat,lower_strength,3,8.0,43.1,,,,8,
15068,2716,Seated Calf Raise,lower_strength,1,10.0,259.9,,,,9,
15069,2716,Seated Calf Raise,lower_strength,2,10.0,42.2,,,,8,
15070,2716,Seated Calf Raise,lower_strength,3,10.0,100.8,,,,9,
15071,2717,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
15072,2717,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
15073,2719,Back Squat,lower_strength,1,6.0,190.3,,,,7,
15074,2719,Back Squat,lower_strength,2,6.0,242.6,,,,7,
15075,2719,Back Squat,lower_strength,3,6.0,203.2,,,,9,
15076,2719,Trap Bar Deadlift,lower_strength,1,5.0,194.3,,,,7,
15077,2719,Trap Bar Deadlift,lower_strength,2,5.0,124.4,,,,8,
15078,2719,Trap Bar Deadlift,lower_strength,3,5.0,243.6,,,,10,
15079,2719,Romanian Deadlift,lower_strength,1,8.0,160.2,,,,8,
15080,2719,Romanian Deadlift,lower_strength,2,8.0,22.8,,,,8,
15081,2719,Romanian Deadlift,lower_strength,3,8.0,139.5,,,,8,
15082,2719,Seated Calf Raise,lower_strength,1,10.0,171.2,,,,8,
15083,2719,Seated Calf Raise,lower_strength,2,10.0,200.4,,,,7,
15084,2719,Seated Calf Raise,lower_strength,3,10.0,210.9,,,,8,
15085,2720,Approach Jumps,plyometric,1,4.0,,,,4.0,7,
15086,2720,Approach Jumps,plyometric,2,4.0,,,,4.0,7,
15087,2720,Approach Jumps,plyometric,3,4.0,,,,4.0,7,
15088,2720,Approach Jumps,plyometric,4,4.0,,,,4.0,5,
15089,2720,Pogos,plyometric,1,20.0,,,,20.0,6,
15090,2720,Pogos,plyometric,2,20.0,,,,20.0,5,
15091,2720,Pogos,plyometric,3,20.0,,,,20.0,7,
15092,2720,Depth Jumps,plyometric,1,5.0,,,,5.0,8,
15093,2720,Depth Jumps,plyometric,2,5.0,,,,5.0,7,
15094,2720,Depth Jumps,plyometric,3,5.0,,,,5.0,6,
15095,2721,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
15096,2721,Serve Receive,volleyball,1,20.0,,,1200.0,,9,
15097,2721,Gameplay,volleyball,1,60.0,,,3600.0,,7,
15098,2722,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
15099,2722,Spanish Squat Iso Hold,isometric,2,,,,30.0,,3,
15100,2722,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
15101,2722,Calf Iso Hold,isometric,1,,,,30.0,,2,
15102,2722,Calf Iso Hold,isometric,2,,,,30.0,,3,
15103,2722,Calf Iso Hold,isometric,3,,,,30.0,,5,
15104,2723,Back Squat,lower_strength,1,6.0,164.5,,,,8,
15105,2723,Back Squat,lower_strength,2,6.0,134.3,,,,7,
15106,2723,Back Squat,lower_strength,3,6.0,196.3,,,,7,
15107,2723,Trap Bar Deadlift,lower_strength,1,5.0,164.7,,,,8,
15108,2723,Trap Bar Deadlift,lower_strength,2,5.0,192.2,,,,6,
15109,2723,Trap Bar Deadlift,lower_strength,3,5.0,180.4,,,,8,
15110,2723,Romanian Deadlift,lower_strength,1,8.0,189.4,,,,7,
15111,2723,Romanian Deadlift,lower_strength,2,8.0,109.2,,,,6,
15112,2723,Romanian Deadlift,lower_strength,3,8.0,93.1,,,,7,
15113,2723,Bulgarian Split Squat,lower_strength,1,8.0,214.6,,,,7,
15114,2723,Bulgarian Split Squat,lower_strength,2,8.0,137.8,,,,7,
15115,2723,Bulgarian Split Squat,lower_strength,3,8.0,153.2,,,,6,
15116,2723,Seated Calf Raise,lower_strength,1,10.0,94.2,,,,8,
15117,2723,Seated Calf Raise,lower_strength,2,10.0,143.9,,,,6,
15118,2723,Seated Calf Raise,lower_strength,3,10.0,223.4,,,,8,
15119,2724,Gameplay,volleyball,1,60.0,,,3600.0,,5,
15120,2726,Back Squat,lower_strength,1,6.0,139.0,,,,6,
15121,2726,Back Squat,lower_strength,2,6.0,87.3,,,,5,
15122,2726,Back Squat,lower_strength,3,6.0,91.2,,,,6,
15123,2726,Romanian Deadlift,lower_strength,1,8.0,56.9,,,,6,
15124,2726,Romanian Deadlift,lower_strength,2,8.0,115.0,,,,5,
15125,2726,Romanian Deadlift,lower_strength,3,8.0,169.2,,,,7,
15126,2726,Bulgarian Split Squat,lower_strength,1,8.0,182.2,,,,3,
15127,2726,Bulgarian Split Squat,lower_strength,2,8.0,78.9,,,,5,
15128,2726,Bulgarian Split Squat,lower_strength,3,8.0,94.8,,,,5,
15129,2726,Seated Calf Raise,lower_strength,1,10.0,181.7,,,,3,
15130,2726,Seated Calf Raise,lower_strength,2,10.0,255.7,,,,5,
15131,2726,Seated Calf Raise,lower_strength,3,10.0,132.6,,,,4,
15132,2727,Approach Jumps,plyometric,1,4.0,,,,4.0,6,
15133,2727,Approach Jumps,plyometric,2,4.0,,,,4.0,7,
15134,2727,Approach Jumps,plyometric,3,4.0,,,,4.0,7,
15135,2727,Approach Jumps,plyometric,4,4.0,,,,4.0,8,
15136,2727,Pogos,plyometric,1,20.0,,,,20.0,8,
15137,2727,Pogos,plyometric,2,20.0,,,,20.0,6,
15138,2727,Pogos,plyometric,3,20.0,,,,20.0,8,
15139,2727,Depth Jumps,plyometric,1,5.0,,,,5.0,8,
15140,2727,Depth Jumps,plyometric,2,5.0,,,,5.0,9,
15141,2727,Depth Jumps,plyometric,3,5.0,,,,5.0,9,
15142,2727,Seated Box Jumps,plyometric,1,5.0,,,,5.0,8,
15143,2727,Seated Box Jumps,plyometric,2,5.0,,,,5.0,7,
15144,2727,Seated Box Jumps,plyometric,3,5.0,,,,5.0,9,
15145,2728,Serve Receive,volleyball,1,20.0,,,1200.0,,8,
15146,2728,Gameplay,volleyball,1,60.0,,,3600.0,,6,
15147,2730,Back Squat,lower_strength,1,6.0,135.6,,,,5,
15148,2730,Back Squat,lower_strength,2,6.0,129.7,,,,5,
15149,2730,Back Squat,lower_strength,3,6.0,160.3,,,,5,
15150,2730,Trap Bar Deadlift,lower_strength,1,5.0,178.4,,,,7,
15151,2730,Trap Bar Deadlift,lower_strength,2,5.0,157.7,,,,6,
15152,2730,Trap Bar Deadlift,lower_strength,3,5.0,132.2,,,,6,
15153,2730,Bulgarian Split Squat,lower_strength,1,8.0,155.7,,,,3,
15154,2730,Bulgarian Split Squat,lower_strength,2,8.0,141.4,,,,7,
15155,2730,Bulgarian Split Squat,lower_strength,3,8.0,108.0,,,,5,
15156,2731,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
15157,2731,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
15158,2731,Gameplay,volleyball,1,60.0,,,3600.0,,5,
15159,2733,Back Squat,lower_strength,1,6.0,163.8,,,,7,
15160,2733,Back Squat,lower_strength,2,6.0,129.7,,,,7,
15161,2733,Back Squat,lower_strength,3,6.0,181.2,,,,6,
15162,2733,Trap Bar Deadlift,lower_strength,1,5.0,121.3,,,,6,
15163,2733,Trap Bar Deadlift,lower_strength,2,5.0,207.4,,,,6,
15164,2733,Trap Bar Deadlift,lower_strength,3,5.0,217.5,,,,6,
15165,2733,Romanian Deadlift,lower_strength,1,8.0,183.4,,,,5,
15166,2733,Romanian Deadlift,lower_strength,2,8.0,138.4,,,,5,
15167,2733,Romanian Deadlift,lower_strength,3,8.0,181.1,,,,5,
15168,2733,Seated Calf Raise,lower_strength,1,10.0,136.5,,,,6,
15169,2733,Seated Calf Raise,lower_strength,2,10.0,95.1,,,,6,
15170,2733,Seated Calf Raise,lower_strength,3,10.0,139.1,,,,4,
15171,2734,Approach Jumps,plyometric,1,4.0,,,,4.0,4,
15172,2734,Approach Jumps,plyometric,2,4.0,,,,4.0,5,
15173,2734,Approach Jumps,plyometric,3,4.0,,,,4.0,4,
15174,2734,Approach Jumps,plyometric,4,4.0,,,,4.0,4,
15175,2734,Pogos,plyometric,1,20.0,,,,20.0,5,
15176,2734,Pogos,plyometric,2,20.0,,,,20.0,6,
15177,2734,Pogos,plyometric,3,20.0,,,,20.0,3,
15178,2734,Depth Jumps,plyometric,1,5.0,,,,5.0,5,
15179,2734,Depth Jumps,plyometric,2,5.0,,,,5.0,6,
15180,2734,Depth Jumps,plyometric,3,5.0,,,,5.0,5,
15181,2734,Seated Box Jumps,plyometric,1,5.0,,,,5.0,3,
15182,2734,Seated Box Jumps,plyometric,2,5.0,,,,5.0,6,
15183,2734,Seated Box Jumps,plyometric,3,5.0,,,,5.0,4,
15184,2735,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
15185,2735,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
15186,2735,Gameplay,volleyball,1,60.0,,,3600.0,,7,
15187,2737,Back Squat,lower_strength,1,6.0,151.1,,,,7,
15188,2737,Back Squat,lower_strength,2,6.0,136.7,,,,6,
15189,2737,Back Squat,lower_strength,3,6.0,77.0,,,,5,
15190,2737,Romanian Deadlift,lower_strength,1,8.0,147.0,,,,4,
15191,2737,Romanian Deadlift,lower_strength,2,8.0,169.5,,,,6,
15192,2737,Romanian Deadlift,lower_strength,3,8.0,163.7,,,,5,
15193,2737,Bulgarian Split Squat,lower_strength,1,8.0,165.4,,,,6,
15194,2737,Bulgarian Split Squat,lower_strength,2,8.0,211.1,,,,5,
15195,2737,Bulgarian Split Squat,lower_strength,3,8.0,170.8,,,,6,
15196,2737,Seated Calf Raise,lower_strength,1,10.0,129.0,,,,5,
15197,2737,Seated Calf Raise,lower_strength,2,10.0,187.6,,,,6,
15198,2737,Seated Calf Raise,lower_strength,3,10.0,114.2,,,,5,
15199,2738,Hitting Lines,volleyball,1,30.0,,,1800.0,,6,
15200,2738,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
15201,2738,Gameplay,volleyball,1,60.0,,,3600.0,,8,
15202,2740,Back Squat,lower_strength,1,6.0,107.6,,,,6,
15203,2740,Back Squat,lower_strength,2,6.0,142.6,,,,6,
15204,2740,Back Squat,lower_strength,3,6.0,202.1,,,,9,
15205,2740,Trap Bar Deadlift,lower_strength,1,5.0,180.8,,,,8,
15206,2740,Trap Bar Deadlift,lower_strength,2,5.0,202.8,,,,7,
15207,2740,Trap Bar Deadlift,lower_strength,3,5.0,89.0,,,,7,
